epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
60,0.3902401438522339,86.60799999999999,99.104,0.24684540839195251,91.49000000000001,99.81
61,0.3900566632938385,86.732,99.062,0.2475005972623825,91.62,99.8
62,0.387508038520813,86.766,99.188,0.24801981399059295,91.39,99.82
63,0.3914954189491272,86.7,99.112,0.24616932406425476,91.47999999999999,99.81
64,0.39177669507980345,86.682,99.10799999999999,0.24634402754306794,91.42,99.83
65,0.39551204648971555,86.566,99.086,0.24753212399482727,91.49000000000001,99.78
66,0.3849352588748932,86.86,99.136,0.24751824216842652,91.58,99.8
67,0.3985901717090607,86.416,98.97200000000001,0.24670901038646698,91.49000000000001,99.8
68,0.3912405865573883,86.696,99.08,0.2461016471147537,91.60000000000001,99.79
69,0.39045937099456784,86.622,99.086,0.24668088369369506,91.45,99.79
70,0.3917741042613983,86.59599999999999,99.098,0.24507134959697724,91.53,99.8
71,0.39027581263542177,86.69200000000001,99.09599999999999,0.24565504426956178,91.52,99.81
72,0.39270691285133363,86.78399999999999,99.07000000000001,0.24604437606334686,91.57,99.8
73,0.39506846448898314,86.546,99.098,0.24683950209617614,91.5,99.79
74,0.38433087170600894,86.966,99.126,0.24451945548057555,91.64,99.79
75,0.38705179891586305,86.79400000000001,99.156,0.24450365493297577,91.67,99.8
76,0.39150396863937376,86.67,99.098,0.2448870239019394,91.59,99.79
77,0.3841138443279266,86.8,99.214,0.24695878846645355,91.45,99.78
78,0.3899025848388672,86.678,99.08,0.24497514548301697,91.60000000000001,99.79
79,0.3844571190547943,86.904,99.16,0.245370055103302,91.67,99.8
80,0.38918024615287783,86.556,99.1,0.24457512888908386,91.58,99.79
81,0.38607178867340086,86.788,99.104,0.2441662647008896,91.57,99.8
82,0.3928837351417542,86.628,99.114,0.2445822906255722,91.57,99.78
